"Cohort"	"Form.Name"	"Form.Type"	"Table.Name"	"Variable.Name"	"Variable.Description"	"Data.Type"	"Code"	"Code.Description"	"Specify"	"FixedUnit"	"Logline"	"LowerRange"	"UpperRange"
"4129"	"Registry - Long-term Follow-up"	"Rheumatic Condition Questions"	"Visit Form"	"RHEUMAT"	"PAINPRT"	"We are also interested in learning whether or not your child has been affected by pain because of his/her rheumatic condition. How much pain do you think your child had because of his/her rheumatic condition in the past week?"	"RadioButton (Vertical)"	"10"	"10 Very Severe Pain"	"FALSE"	NA	"FALSE"	NA	NA
"4130"	"Registry - Long-term Follow-up"	"Rheumatic Condition Questions"	"Visit Form"	"RHEUMAT"	"PAINPRT"	"We are also interested in learning whether or not your child has been affected by pain because of his/her rheumatic condition. How much pain do you think your child had because of his/her rheumatic condition in the past week?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4131"	"Registry - Long-term Follow-up"	"Rheumatic Condition Questions"	"Visit Form"	"RHEUMAT"	"LONGWHO1"	"Who Completed (mapped from Longterm Followup)"	"RadioButton (Vertical)"	"1"	"Patient (8 years or older)"	"FALSE"	NA	"FALSE"	NA	NA
"4132"	"Registry - Long-term Follow-up"	"Rheumatic Condition Questions"	"Visit Form"	"RHEUMAT"	"LONGWHO1"	"Who Completed (mapped from Longterm Followup)"	"RadioButton (Vertical)"	"2"	"Parent (Patient<8 years or patient unable)"	"FALSE"	NA	"FALSE"	NA	NA
"4133"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"0"	"0 Very Well"	"FALSE"	NA	"FALSE"	NA	NA
"4134"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"1"	"1"	"FALSE"	NA	"FALSE"	NA	NA
"4135"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"2"	"2"	"FALSE"	NA	"FALSE"	NA	NA
"4136"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"3"	"3"	"FALSE"	NA	"FALSE"	NA	NA
"4137"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"4"	"4"	"FALSE"	NA	"FALSE"	NA	NA
"4138"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"5"	"5"	"FALSE"	NA	"FALSE"	NA	NA
"4139"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"6"	"6"	"FALSE"	NA	"FALSE"	NA	NA
"4140"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"7"	"7"	"FALSE"	NA	"FALSE"	NA	NA
"4141"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"8"	"8"	"FALSE"	NA	"FALSE"	NA	NA
"4142"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"9"	"9"	"FALSE"	NA	"FALSE"	NA	NA
"4143"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"10"	"10 Very Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4144"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVSUB"	"How do you rate your disease activity over the past week?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4145"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"0"	"0 Very Well"	"FALSE"	NA	"FALSE"	NA	NA
"4146"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"1"	"1"	"FALSE"	NA	"FALSE"	NA	NA
"4147"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"2"	"2"	"FALSE"	NA	"FALSE"	NA	NA
"4148"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"3"	"3"	"FALSE"	NA	"FALSE"	NA	NA
"4149"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"4"	"4"	"FALSE"	NA	"FALSE"	NA	NA
"4150"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"5"	"5"	"FALSE"	NA	"FALSE"	NA	NA
"4151"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"6"	"6"	"FALSE"	NA	"FALSE"	NA	NA
"4152"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"7"	"7"	"FALSE"	NA	"FALSE"	NA	NA
"4153"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"8"	"8"	"FALSE"	NA	"FALSE"	NA	NA
"4154"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"9"	"9"	"FALSE"	NA	"FALSE"	NA	NA
"4155"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"10"	"10 Very Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4156"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"ACTIVPAR"	"How do you rate your child’s disease activity over the past week?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4157"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"LONGWHO2"	"Who Completed mapped from Longterm Followup"	"RadioButton (Vertical)"	"1"	"Patient (8 years or older)"	"FALSE"	NA	"FALSE"	NA	NA
"4158"	"Registry - Long-term Follow-up"	"Disease Activity Assessment Questions"	"Visit Form"	"DISEACT"	"LONGWHO2"	"Who Completed mapped from Longterm Followup"	"RadioButton (Vertical)"	"2"	"Parent (Patient<8 years or patient unable)"	"FALSE"	NA	"FALSE"	NA	NA
"4159"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4160"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4161"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4162"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4163"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4164"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHSUB"	"In general, would you say your health is:"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4165"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4166"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4167"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4168"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4169"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4170"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFESUB"	"In general, would you say your quality of life is:"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4171"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4172"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4173"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4174"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4175"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4176"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSSUB"	"In general, how would you rate your physical health?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4177"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4178"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4179"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4180"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4181"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4182"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLSUB"	"In general, how would you rate your mental health, including your mood and your ability to think?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4183"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"1"	"Never"	"FALSE"	NA	"FALSE"	NA	NA
"4184"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"2"	"Rarely"	"FALSE"	NA	"FALSE"	NA	NA
"4185"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"3"	"Sometimes"	"FALSE"	NA	"FALSE"	NA	NA
"4186"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"4"	"Often"	"FALSE"	NA	"FALSE"	NA	NA
"4187"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"5"	"Always"	"FALSE"	NA	"FALSE"	NA	NA
"4188"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADSUB"	"How often do you feel really sad?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4189"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"1"	"Never"	"FALSE"	NA	"FALSE"	NA	NA
"4190"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"2"	"Rarely"	"FALSE"	NA	"FALSE"	NA	NA
"4191"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"3"	"Sometimes"	"FALSE"	NA	"FALSE"	NA	NA
"4192"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"4"	"Often"	"FALSE"	NA	"FALSE"	NA	NA
"4193"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"5"	"Always"	"FALSE"	NA	"FALSE"	NA	NA
"4194"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNSUB"	"How often do you have fun with friends?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4195"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"1"	"Never"	"FALSE"	NA	"FALSE"	NA	NA
"4196"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"2"	"Rarely"	"FALSE"	NA	"FALSE"	NA	NA
"4197"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"3"	"Sometimes"	"FALSE"	NA	"FALSE"	NA	NA
"4198"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"4"	"Often"	"FALSE"	NA	"FALSE"	NA	NA
"4199"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"5"	"Always"	"FALSE"	NA	"FALSE"	NA	NA
"4200"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LISTNSUB"	"How often do your parents listen to your ideas?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4201"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4202"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4203"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4204"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4205"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4206"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"HELTHPAR"	"In general, would you say your child’s health is:"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4207"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4208"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4209"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4210"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4211"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4212"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"LIFEPAR"	"In general, would you say your child’s quality of life is:"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4213"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4214"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4215"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4216"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4217"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4218"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"PHYSPAR"	"In general, how would you rate your child’s physical health?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4219"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"1"	"Excellent"	"FALSE"	NA	"FALSE"	NA	NA
"4220"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"2"	"Very Good"	"FALSE"	NA	"FALSE"	NA	NA
"4221"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"3"	"Good"	"FALSE"	NA	"FALSE"	NA	NA
"4222"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"4"	"Fair"	"FALSE"	NA	"FALSE"	NA	NA
"4223"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"5"	"Poor"	"FALSE"	NA	"FALSE"	NA	NA
"4224"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"MENTLPAR"	"In general, how would you rate your child’s mental health, including mood and ability to think?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4225"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"1"	"Never"	"FALSE"	NA	"FALSE"	NA	NA
"4226"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"2"	"Rarely"	"FALSE"	NA	"FALSE"	NA	NA
"4227"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"3"	"Sometimes"	"FALSE"	NA	"FALSE"	NA	NA
"4228"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"4"	"Often"	"FALSE"	NA	"FALSE"	NA	NA
"4229"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"5"	"Always"	"FALSE"	NA	"FALSE"	NA	NA
"4230"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"SADPAR"	"How often does your child feel really sad?"	"RadioButton (Vertical)"	"99"	"Prefer Not to Answer"	"FALSE"	NA	"FALSE"	NA	NA
"4231"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNPAR"	"How often does your child have fun with friends?"	"RadioButton (Vertical)"	"1"	"Never"	"FALSE"	NA	"FALSE"	NA	NA
"4232"	"Registry - Long-term Follow-up"	"Pediatric Global Health Assessment"	"Visit Form"	"PEDGLOHT"	"FUNPAR"	"How often does your child have fun with friends?"	"RadioButton (Vertical)"	"2"	"Rarely"	"FALSE"	NA	"FALSE"	NA	NA
